Query,Match,HMDB,PubChem,KEGG,SMILES,Comment,MetaNetX
Dimethylarginine,,,,,,0,MNXM1509577;MNXM155429
Aspartylphenylalanine,Aspartylphenylalanine,HMDB0000706,93078,,N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,1,MNXM59323
Glutamylalanine,Glutamylalanine,HMDB0003764,6992506,,C[C@H](NC(=O)[C@@H](N)CCC(O)=O)C(O)=O,1,MNXM55244
Glutamylphenylalanine,Glutamylphenylalanine,HMDB0029156,18653118,,N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,1,MNXM737596
Acetylphenylalanine,N-Acetyl-L-phenylalanine,HMDB0000512,74839,C03519,CC(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,1,MNXM4052
Formylmethionine,,,,,,0,MNXM739067;MNXM1374328;MNXM734252
Oxidized glutathione,Oxidized glutathione,HMDB0003337,65359,C00127,N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O)C(=O)NCC(O)=O)C(O)=O,1,MNXM1371191
Acetylspermidine,,,,,,0,MNXM40110
Malic acid,Malic acid,HMDB0000156,222656,C00149,O[C@@H](CC(O)=O)C(O)=O,1,MNXM1107194
Trytophan,,,,,,0,N/A
Choline,Choline,HMDB0000097,305,C00114,C[N+](C)(C)CCO,1,MNXM90
Malate,Malic acid,HMDB0000156,222656,C00149,O[C@@H](CC(O)=O)C(O)=O,1,MNXM1107194
C13-malate,,,,,,0,MNXM1107192;MNXM1107194
C13-fumarate,,,,,,0,MNXM737340
C13-oxaloacetate,,,,,,0,MNXM46
Raffinose,Raffinose,HMDB0003213,439242,C00492,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,1,MNXM1108339
ATP,Adenosine triphosphate,HMDB0000538,5957,C00002,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,1,MNXM3
NADH,NADH,HMDB0001487,439153,C00004,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O,1,MNXM10
8Br-GMP,,,,,,0,N/A
Glucose,D-Glucose,HMDB0000122,64689,C00031,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,1,MNXM7381
Lactate,Lactic acid,HMDB0000190,107689,C00186,C[C@H](O)C(O)=O,1,MNXM733758
Sorbitol,Sorbitol,HMDB0000247,5780,C00794,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1,MNXM736685
Threitol,D-Threitol,HMDB0004136,169019,C16884,OC[C@@H](O)[C@H](O)CO,1,MNXM734799
Glycerol,Glycerol,HMDB0000131,753,C00116,OCC(O)CO,1,MNXM89612
Pyruvate,Pyruvic acid,HMDB0000243,1060,C00022,CC(=O)C(O)=O,1,MNXM23
Fructose,D-Fructose,HMDB0000660,439709,C00095,OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O,1,MNXM729624;MNXM729625;MNXM729626
Myo-inositol,myo-Inositol,HMDB0000211,,C00137,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O,1,MNXM1105941
Citrate,Citric acid,HMDB0000094,311,C00158,OC(=O)CC(O)(CC(O)=O)C(O)=O,1,MNXM1107752
Isocitrate,Isocitric acid,HMDB0000193,1198,C00311,OC(C(CC(O)=O)C(O)=O)C(O)=O,1,MNXM89661
aKetoglutarate,,,,,,0,MNXM1368744
Succinate,Succinic acid,HMDB0000254,1738118,C00042,OC(=O)CCC(O)=O,1,MNXM25;MNXM683025
Fumarate,Glycerol,HMDB0000131,753,C00116,OCC(O)CO,1,MNXM737340
Oxaloacetate,Oxalacetic acid,HMDB0000223,970,C00036,OC(=O)CC(=O)C(O)=O,1,MNXM46
Histidine,Histidine,HMDB0000177,6274,C00135,N[C@@H](CC1=CN=CN1)C(O)=O,1,MNXM1107769
Leucine,Leucine,HMDB0000687,6106,C00123,CC(C)C[C@H](N)C(O)=O,1,MNXM1106761
Isoleucine,Isoleucine,HMDB0000172,6306,C00407,CC[C@H](C)[C@H](N)C(O)=O,1,MNXM1364268;MNXM728338
Lysine,Lysine,HMDB0000182,5962,C00047,NCCCC[C@H](N)C(O)=O,1,MNXM1364268;MNXM728338
Methionine,Methionine,HMDB0000696,6137,C00073,CSCC[C@H](N)C(O)=O,1,MNXM738803
Phenylalanine,Phenylalanine,HMDB0000159,6140,C00079,N[C@@H](CC1=CC=CC=C1)C(O)=O,1,MNXM741663
Threonine,L-Threonine,HMDB0000167,6288,C00188,C[C@@H](O)[C@H](N)C(O)=O,1,MNXM142
Tryptophan,L-Tryptophan,HMDB0000929,6305,C00078,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,1,MNXM741553
Valine,L-Valine,HMDB0000883,6287,C00183,CC(C)[C@H](N)C(O)=O,1,MNXM199
Glutamine,Glutamine,HMDB0000641,5961,C00064,N[C@@H](CCC(N)=O)C(O)=O,1,MNXM37
Glutamate,Glutamic acid,HMDB0000148,33032,C00302,N[C@@H](CCC(O)=O)C(O)=O,1,MNXM741172
Asparagine,L-Asparagine,HMDB0000168,6267,C00152,N[C@@H](CC(N)=O)C(O)=O,1,MNXM1107820
Aspartate,L-Aspartic acid,HMDB0000191,5960,C00049,N[C@@H](CC(O)=O)C(O)=O,1,MNXM735837
Serine,Serine,HMDB0000187,5951,C00065,N[C@@H](CO)C(O)=O,1,MNXM737786
Glycine,Glycine,HMDB0000123,750,C00037,NCC(O)=O,1,MNXM29
Alanine,Alanine,,,C01401,,1,MNXM733981
Proline,Proline,HMDB0000162,145742,C00148,OC(=O)[C@@H]1CCCN1,1,MNXM114
Cysteine,L-Cysteine,HMDB0000574,5862,C00097,N[C@@H](CS)C(O)=O,1,MNXM738067
Tyrosine,L-Tyrosine,HMDB0000158,6057,C00082,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,1,MNXM76
Citrulline,Citrulline,HMDB0000904,9750,C00327,N[C@@H](CCCNC(N)=O)C(O)=O,1,MNXM732470
Ornithine,Ornithine,HMDB0000214,6262,C00077,NCCC[C@H](N)C(O)=O,1,MNXM741174
Folic acid,Folic acid,HMDB0000121,6037,C00504,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,1,MNXM617
L-alanine,L-Alanine,HMDB0000161,5950,C00041,C[C@H](N)C(O)=O,1,MNXM1105732
L-arginine,L-Arginine,HMDB0000517,6322,C00062,N[C@@H](CCCNC(N)=N)C(O)=O,1,MNXM739527
L-glutamine,Glutamine,HMDB0000641,5961,C00064,N[C@@H](CCC(N)=O)C(O)=O,1,MNXM37
L-tryptophan,L-Tryptophan,HMDB0000929,6305,C00078,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,1,MNXM741553
Nicotinamide,Niacinamide,HMDB0001406,936,C00153,NC(=O)C1=CC=CN=C1,1,MNXM216
Pantothenic acid,Pantothenic acid,HMDB0000210,6613,C00864,CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O,1,MNXM1371613
Riboflavin,Riboflavin,HMDB0000244,493570,C00255,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,1,MNXM270
5-L-glutamyl-L-alanine,gamma-Glutamylalanine,HMDB0006248,440103,C03740,C[C@H](NC(=O)CC[C@H](N)C(O)=O)C(O)=O,1,MNXM125848
dimethyl-L-arginine,Asymmetric dimethylarginine,HMDB0001539,123831,C03626,N[C@@H](CCC\N=C(/N)N(C)C)C(O)=O,1,MNXM4046
