Original ID,Raw MetaNetX ID,transport,Final ID
RXN-3341,MNXR113581,0,MNXR113581
RXN-20341,MNXR164751,0,MNXR164751
RXN-20769,MNXR122911,0,MNXR122911
RXN-12969,MNXR117827,0,MNXR117827
ESTRADIOL-17-BETA-DEHYDROGENASE-RXN,MNXR100715,0,MNXR100715
RXN-23497,RXN-23497,0,RXN-23497
CERAMIDE-KINASE-RXN,MNXR153171,0,MNXR153171
2.3.1.176-RXN,MNXR104297,0,MNXR104297
RXN-17861,MNXR121213,0,MNXR121213
RXN-14267,MNXR118592,0,MNXR118592
2.4.1.151-RXN,MNXR147828,0,MNXR147828
METHYLENETHFDEHYDROG-NADP-RXN,MNXR116057,0,MNXR116057
RXN66-61,MNXR123799,0,MNXR123799
RNA-POLYMERASE-SUBUNIT-KINASE-RXN,MNXR116262,0,MNXR116262
RXN-12031,MNXR117299,0,MNXR117299
RXN-11620,RXN-11620,0,RXN-11620
RXN-14056,MNXR114331,0,MNXR114331
RXN-19996,MNXR164539,0,MNXR164539
RXN-20573,MNXR164920,0,MNXR164920
RXN-20336,MNXR167207,0,MNXR167207
S-FORMYLGLUTATHIONE-HYDROLASE-RXN,MNXR104357,0,MNXR104357
THIOETHER-S-METHYLTRANSFERASE-RXN,MNXR107587,0,MNXR107587
PRODISULFREDUCT-A-RXN,MNXR116153,0,MNXR116153
RXN-13072,MNXR105306,0,MNXR105306
RXN-15682,MNXR119544,0,MNXR119544
GALACTOKIN-RXN,MNXR99985,0,MNXR99985
ALPHA-AMINO-ACID-ESTERASE-RXN,MNXR148595,0,MNXR148595
3.4.22.63-RXN,MNXR151137,0,MNXR151137
RXN-22201,MNXR193730,0,MNXR193730
2.4.1.124-RXN,MNXR148793,0,MNXR148793
RXN-11555,MNXR115775,0,MNXR115775
RXN-18264,MNXR121553,0,MNXR121553
HYDROXYMETHYLGLUTARYL-COA-HYDROLASE-RXN,MNXR132664,0,MNXR132664
RXN66-621,MNXR149058,0,MNXR149058
RXN-9344,MNXR122766,0,MNXR122766
3.1.3.43-RXN,MNXR115292,0,MNXR115292
RXN-8353,MNXR191903,0,MNXR191903
RXN66-567,MNXR191800,0,MNXR191800
RXN-3701,MNXR121682,0,MNXR121682
RXN-23500,RXN-23500,0,RXN-23500
3.4.23.5-RXN,MNXR192320,0,MNXR192320
3.4.21.6-RXN,MNXR115490,0,MNXR115490
RXN-19427,MNXR164310,0,MNXR164310
RXN-14240,MNXR140389,0,MNXR140389
RXN66-15,MNXR123679,0,MNXR123679
RXN197R-54,MNXR193933,0,MNXR193933
RXN-9624,MNXR190988,0,MNXR190988
2.4.1.222-RXN,MNXR115128,0,MNXR115128
RXN-22198,MNXR193727,0,MNXR193727
3.4.25.1-RXN,MNXR192320~,0,MNXR192320
RXN-2881,MNXR121639,0,MNXR121639
RXN0-6427,MNXR188101,0,MNXR188101
GLYC3PDEHYDROGBIOSYN-RXN,MNXR115935,0,MNXR115935
RXN-10947,MNXR146019,0,MNXR146019
1.1.1.255-RXN,MNXR114890,0,MNXR114890
PHOSPHAGLYPSYN-RXN,MNXR147431,0,MNXR147431
RXN-22953,RXN-22953,0,RXN-22953
RXN0-5468,MNXR123272,0,MNXR123272
RXN-9544,MNXR188758,0,MNXR188758
RXN-23098,RXN-23098,0,RXN-23098
RXN-21266,MNXR193004,0,MNXR193004
RXN-17918,MNXR121262,0,MNXR121262
RXN0-2921,RXN0-2921,0,RXN0-2921
GDPREDUCT-RXN,MNXR146322,0,MNXR146322
RXN-22911,RXN-22911,0,RXN-22911
PYRUVATE-CARBOXYLASE-RXN,MNXR102391,0,MNXR102391
RXN0-1133,MNXR123104,0,MNXR123104
PROPIONYL-COA-CARBOXY-RXN,MNXR103100,0,MNXR103100
RXN-20637,MNXR164981,0,MNXR164981
ETHANOLAMINE-KINASE-RXN,MNXR97969,0,MNXR97969
RXN-22605,RXN-22605,0,RXN-22605
RXN-10938,MNXR151195,0,MNXR151195
RXN-9841,MNXR123024,0,MNXR123024
RXN0-5257,MNXR123235,0,MNXR123235
RXN-19937,MNXR164507,0,MNXR164507
RXN-1404,MNXR102070,0,MNXR102070
RXN66-489,MNXR123758,0,MNXR123758
RXN-17886,MNXR121237,0,MNXR121237
RXN-22777,RXN-22777,0,RXN-22777
RXN-2902,MNXR188441,0,MNXR188441
RXN-12533,MNXR117614,0,MNXR117614
RXN-18929,MNXR184156,0,MNXR184156
RXN-23019,RXN-23019,0,RXN-23019
RXN-16574,MNXR120202,0,MNXR120202
RXN66-337,MNXR101249,0,MNXR101249
RXN-16655,MNXR95739,0,MNXR95739
5-OXOPROLINASE-ATP-HYDROLYSING-RXN,MNXR138674,0,MNXR138674
RXN-21978,MNXR144285,0,MNXR144285
RXN-23830,RXN-23830,0,RXN-23830
RXN-7710,RXN-7710,0,RXN-7710
IRON--CYTOCHROME-C-REDUCTASE-RXN,MNXR140092,0,MNXR140092
2.7.11.20-RXN,MNXR115196,0,MNXR115196
PHOSGLYPHOS-RXN,MNXR102538,0,MNXR102538
