Original ID,Raw MetaNetX ID,transport,Final ID
GLYCOLATE-REDUCTASE-RXN,MNXR100331,0,MNXR100331
DEOXYADENOSINE-KINASE-RXN,MNXR97079,0,MNXR97079
GPH-RXN,MNXR102543,0,MNXR102543
RXN-20617,MNXR164962,0,MNXR164962
2.7.1.150-RXN,MNXR146038,0,MNXR146038
RXN-20642,MNXR164986,0,MNXR164986
ALLANTOINASE-RXN,MNXR107498,0,MNXR107498
RXN-6622,MNXR95828,0,MNXR95828
GLYCEROL-KIN-RXN,MNXR100348,0,MNXR100348
UDP-GLUCURONOSYLTRANSFERASE-RXN,MNXR124087,0,MNXR124087
PYRUVATE-CARBOXYLASE-RXN,MNXR102391,0,MNXR102391
RXN-13424,MNXR118076,0,MNXR118076
RXN0-2161,MNXR123138,0,MNXR123138
RXN-11002,MNXR145015,0,MNXR145015
RXN-18261,MNXR121550,0,MNXR121550
RXN-10470,MNXR116392,0,MNXR116392
D-AMINO-ACID-OXIDASE-RXN,MNXR147251,0,MNXR147251
RXN66-534,MNXR123786,0,MNXR123786
PRPPAMIDOTRANS-RXN,MNXR100287,0,MNXR100287
RXN-9990,MNXR95295,0,MNXR95295
RXN-20609,MNXR164954,0,MNXR164954
RXN66-475,MNXR123745,0,MNXR123745
RXN-7977,MNXR149806,0,MNXR149806
GLUTAMINE--TRNA-LIGASE-RXN,MNXR115929,0,MNXR115929
TRANSALDOL-RXN,MNXR112107,0,MNXR112107
AICARTRANSFORM-RXN,MNXR115676,0,MNXR115676
RXN66-351,MNXR123731,0,MNXR123731
RXN-16267,MNXR119983,0,MNXR119983
GLUCURONATE-REDUCTASE-RXN,MNXR115924,0,MNXR115924
CYTIKIN-RXN,MNXR190860,0,MNXR190860
RXN-17745,MNXR121136,0,MNXR121136
MALSYN-RXN,MNXR188337,0,MNXR188337
RXN-15278,MNXR119257,0,MNXR119257
ADENYLOSUCCINATE-SYNTHASE-RXN,MNXR192666,0,MNXR192666
RXN-10953,MNXR116605,0,MNXR116605
ALANINE--TRNA-LIGASE-RXN,MNXR115678,0,MNXR115678
RXN-10978,MNXR151198,0,MNXR151198
THYKI-RXN,MNXR104885,0,MNXR104885
RXN-19570,MNXR184971,0,MNXR184971
GLUTAMATE-DEHYDROGENASE-NADP+-RXN,MNXR115927,0,MNXR115927
RXN-17725,MNXR121121,0,MNXR121121
RXN-20558,MNXR164906,0,MNXR164906
RXN-5647,MNXR96685,0,MNXR96685
RXN-10961,MNXR116609,0,MNXR116609
RXN0-7068,MNXR123374,0,MNXR123374
1-PHOSPHATIDYLINOSITOL-3-KINASE-RXN,MNXR114878,0,MNXR114878
THIOL-OXIDASE-RXN,MNXR146835,0,MNXR146835
2.4.1.228-RXN,MNXR192133,0,MNXR192133
3.1.6.14-RXN,MNXR115308,0,MNXR115308
TIGLYLCOA-HYDROXY-RXN,MNXR97894,0,MNXR97894
2.4.1.45-RXN,MNXR148661,0,MNXR148661
RXN-15211,MNXR119217,0,MNXR119217
RXN-20541,MNXR164891,0,MNXR164891
RXN-5466,MNXR121811,0,MNXR121811
RXN-13298,MNXR103451,0,MNXR103451
ADENOSYLHOMOCYSTEINASE-RXN,MNXR95492,0,MNXR95492
RXN-5822,MNXR101798,0,MNXR101798
GCVMULTI-RXN,MNXR115907,0,MNXR115907
RXN-19057,MNXR164177,0,MNXR164177
1.1.1.145-RXN,MNXR148054,0,MNXR148054
RXN-17245,MNXR120774,0,MNXR120774
RXN-20523,MNXR164878,0,MNXR164878
PNP-RXN,MNXR116139,0,MNXR116139
RXN-13306,MNXR118011,0,MNXR118011
RXN-19038,MNXR105314,0,MNXR105314
RXN-11777,MNXR117148,0,MNXR117148
RXN-15133,MNXR119160,0,MNXR119160
RXN-20507,MNXR168605,0,MNXR168605
ACETYLPUTRESCINE-DEACETYLASE-RXN,MNXR106844,0,MNXR106844
