Original ID,Raw MetaNetX ID,transport,Final ID
R00006,MNXR146819,0,MNXR146819
R00009,MNXR96455,0,MNXR96455
R00010,MNXR95163,0,MNXR95163
R00014,MNXR102428,0,MNXR102428
R00021,MNXR100245,0,MNXR100245
R00022,MNXR152917,0,MNXR152917
R00026,MNXR146825,0,MNXR146825
R00028,MNXR101350,0,MNXR101350
R00032,MNXR153092,0,MNXR153092
R00036,MNXR103095,0,MNXR103095
R00068,MNXR138065,0,MNXR138065
R00078,MNXR99561,0,MNXR99561
R00081,MNXR151778,0,MNXR151778
R00084,MNXR100658,0,MNXR100658
R00086,MNXR153054,0,MNXR153054
R00089,MNXR95444,0,MNXR95444
R00093,MNXR100289,0,MNXR100289
R00095,MNXR191863,0,MNXR191863
R00100,MNXR146847,0,MNXR146847
R00104,MNXR101882,0,MNXR101882
R00111,MNXR191882,0,MNXR191882
R00112,MNXR101898,0,MNXR101898
R00114,MNXR100291,0,MNXR100291
R00127,MNXR95450,0,MNXR95450
R00130,MNXR190944,0,MNXR190944
R00132,MNXR138493,0,MNXR138493
R00137,MNXR95841,0,MNXR95841
R00139,MNXR106405,0,MNXR106405
R00149,MNXR96884,0,MNXR96884
R00155,MNXR188497,0,MNXR188497
R00156,MNXR188501,0,MNXR188501
R00157,MNXR106413,0,MNXR106413
R00158,MNXR188974,0,MNXR188974
R00161,MNXR95501,0,MNXR95501
R00173,MNXR103368,0,MNXR103368
R00174,MNXR103361,0,MNXR103361
R00177,MNXR188373,0,MNXR188373
R00178,MNXR95455,0,MNXR95455
R00181,MNXR95824,0,MNXR95824
R00183,MNXR188533,0,MNXR188533
R00184,MNXR95857,0,MNXR95857
R00185,MNXR190585,0,MNXR190585
R00187,MNXR96340,0,MNXR96340
R00188,MNXR96321,0,MNXR96321
R00190,MNXR190607,0,MNXR190607
R00191,MNXR95886,0,MNXR95886
R00192,MNXR95492,0,MNXR95492
R00200,MNXR103371,0,MNXR103371
R00209,MNXR188625,0,MNXR188625
R00214,MNXR101443,0,MNXR101443
R00216,MNXR101443~,0,MNXR101443
R00220,MNXR104339,0,MNXR104339
R00226,MNXR146819~,0,MNXR146819
R00235,MNXR190571,0,MNXR190571
R00236,MNXR189030,0,MNXR189030
R00238,MNXR190494,0,MNXR190494
R00239,MNXR100277,0,MNXR100277
R00243,MNXR100086,0,MNXR100086
R00245,MNXR103352,0,MNXR103352
R00248,MNXR100086~,0,MNXR100086
R00251,MNXR138674,0,MNXR138674
R00253,MNXR100024,0,MNXR100024
R00256,MNXR100030,0,MNXR100030
R00257,MNXR97678,0,MNXR97678
R00258,MNXR95698,0,MNXR95698
R00261,MNXR95941,0,MNXR95941
R00267,MNXR100781,0,MNXR100781
R00268,MNXR105305,0,MNXR105305
R00269,MNXR105306,0,MNXR105306
R00274,MNXR100446,0,MNXR100446
R00277,MNXR103355,0,MNXR103355
R00278,MNXR102438,0,MNXR102438
R00286,MNXR152122,0,MNXR152122
