Original ID,Raw MetaNetX ID,transport,Final ID
2.7.1.133-RXN,MNXR188401,0,MNXR188401
SERINE--GLYOXYLATE-AMINOTRANSFERASE-RXN,MNXR104361,0,MNXR104361
RXN-12376,MNXR117510,0,MNXR117510
RXN-17850,MNXR121202,0,MNXR121202
3.2.1.130-RXN,MNXR115331,0,MNXR115331
5.3.1.23-RXN,MNXR101759,0,MNXR101759
3.4.21.94-RXN,MNXR192320,0,MNXR192320
RXN66-635,MNXR122926,0,MNXR122926
2.7.8.15-RXN,MNXR147130,0,MNXR147130
RXN-7668,RXN-7668,0,RXN-7668
ACONITATEHYDR-RXN,MNXR191428,0,MNXR191428
RXN0-747,MNXR123415,0,MNXR123415
RXN-14384,MNXR118655,0,MNXR118655
RIB5PISOM-RXN,MNXR146354,0,MNXR146354
RXN-21779,MNXR193407,0,MNXR193407
RXN-16909,MNXR114256,0,MNXR114256
PROCOLLAGEN-PROLINE-3-DIOXYGENASE-RXN,MNXR116152,0,MNXR116152
RXN1G01-39,MNXR165331,0,MNXR165331
PRODISULFREDUCT-A-RXN,MNXR116153,0,MNXR116153
RXN-21220,MNXR192969,0,MNXR192969
RXN-7250,MNXR121926,0,MNXR121926
RXN-20694,MNXR165023,0,MNXR165023
UGD-RXN,MNXR152122,0,MNXR152122
RXN-10965,MNXR116612,0,MNXR116612
1.14.11.1-RXN,MNXR153089,0,MNXR153089
RXN-20339,MNXR167592,0,MNXR167592
RXN-20599,MNXR164944,0,MNXR164944
RXN-20522,MNXR164877,0,MNXR164877
6.3.4.9-RXN,MNXR115646,0,MNXR115646
RXN-15271,MNXR119253,0,MNXR119253
RXN-16481,MNXR120119,0,MNXR120119
1.1.1.232-RXN,MNXR114888,0,MNXR114888
RXN-15556,MNXR119447,0,MNXR119447
RXN-10862,MNXR96129,0,MNXR96129
RXN-20345,MNXR164755,0,MNXR164755
RXN-21776,MNXR193405,0,MNXR193405
RXN-8495,MNXR110767,0,MNXR110767
RXN-13003,MNXR117848,0,MNXR117848
R4-RXN,MNXR116222,0,MNXR116222
2.4.1.38-RXN,MNXR115145,0,MNXR115145
RXN-22994,RXN-22994,0,RXN-22994
URA-PHOSPH-RXN,MNXR153408,0,MNXR153408
TYROSINE--TRNA-LIGASE-RXN,MNXR124080,0,MNXR124080
RXN-23415,RXN-23415,0,RXN-23415
DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN,MNXR153383,0,MNXR153383
RXN-15261,MNXR119248,0,MNXR119248
2.8.2.30-RXN,MNXR115226,0,MNXR115226
RXN-21785,MNXR193413,0,MNXR193413
RXN-12466,MNXR117578,0,MNXR117578
3.1.1.69-RXN,MNXR152768,0,MNXR152768
