Original ID,Raw MetaNetX ID,transport,Final ID
GLYCOLATE-REDUCTASE-RXN,MNXR100331,0,MNXR100331
DEOXYADENOSINE-KINASE-RXN,MNXR97079,0,MNXR97079
GPH-RXN,MNXR102543,0,MNXR102543
RXN-20617,MNXR164962,0,MNXR164962
2.7.1.150-RXN,MNXR146038,0,MNXR146038
METHYLMALONYL-COA-EPIM-RXN,MNXR101657,0,MNXR101657
RXN-18252,MNXR121542,0,MNXR121542
RXN-20642,MNXR164986,0,MNXR164986
RXN-18275,MNXR148815,0,MNXR148815
QUINOPRIBOTRANS-RXN,MNXR188515,0,MNXR188515
RXN-6622,MNXR95828,0,MNXR95828
RXN-10604,MNXR116403,0,MNXR116403
RXN66-512,MNXR123778,0,MNXR123778
GLYCEROL-KIN-RXN,MNXR100348,0,MNXR100348
GLYCPDIESTER-RXN,MNXR147083,0,MNXR147083
UDP-GLUCURONOSYLTRANSFERASE-RXN,MNXR124087,0,MNXR124087
PYRUVATE-CARBOXYLASE-RXN,MNXR102391,0,MNXR102391
RXN-13424,MNXR118076,0,MNXR118076
RXN0-2161,MNXR123138,0,MNXR123138
RXN-11002,MNXR145015,0,MNXR145015
RXN-10470,MNXR116392,0,MNXR116392
D-AMINO-ACID-OXIDASE-RXN,MNXR147251,0,MNXR147251
1.97.1.11-RXN,MNXR115008,0,MNXR115008
RXN-11471,MNXR116967,0,MNXR116967
RXN-20582,MNXR164928,0,MNXR164928
PRPPAMIDOTRANS-RXN,MNXR100287,0,MNXR100287
RXN-9990,MNXR95295,0,MNXR95295
RXN-20609,MNXR164954,0,MNXR164954
ALCOHOL-DEHYDROG-RXN,MNXR95725,0,MNXR95725
1.5.1.20-RXN,MNXR191416,0,MNXR191416
RXN-7977,MNXR149806,0,MNXR149806
GLUTAMINE--TRNA-LIGASE-RXN,MNXR115929,0,MNXR115929
TRANSALDOL-RXN,MNXR112107,0,MNXR112107
AICARTRANSFORM-RXN,MNXR115676,0,MNXR115676
RXN-10970,MNXR116613,0,MNXR116613
RXN66-351,MNXR123731,0,MNXR123731
ALDEHYDE-OXIDASE-RXN,MNXR147015,0,MNXR147015
RXN-16773,MNXR120372,0,MNXR120372
RXN-16267,MNXR119983,0,MNXR119983
GLUCURONATE-REDUCTASE-RXN,MNXR115924,0,MNXR115924
RXN66-484,MNXR191024,0,MNXR191024
CYTIKIN-RXN,MNXR190860,0,MNXR190860
GLUTATHIONE-PEROXIDASE-RXN,MNXR100446,0,MNXR100446
RXN-20550,MNXR164899,0,MNXR164899
2.4.99.4-RXN,MNXR115169,0,MNXR115169
MALSYN-RXN,MNXR188337,0,MNXR188337
PROSTAGLANDIN-I-SYNTHASE-RXN,MNXR102537,0,MNXR102537
RXN-15278,MNXR119257,0,MNXR119257
ADENYLOSUCCINATE-SYNTHASE-RXN,MNXR192666,0,MNXR192666
RXN-10953,MNXR116605,0,MNXR116605
RXN66-323,MNXR97384,0,MNXR97384
ALANINE--TRNA-LIGASE-RXN,MNXR115678,0,MNXR115678
RXN-10978,MNXR151198,0,MNXR151198
RXN-11397,MNXR116903,0,MNXR116903
RXN66-360,MNXR108056,0,MNXR108056
1.1.1.170-RXN,MNXR114883,0,MNXR114883
THYKI-RXN,MNXR104885,0,MNXR104885
RXN-19570,MNXR184971,0,MNXR184971
2.4.1.88-RXN,MNXR115159,0,MNXR115159
RXN-20558,MNXR164906,0,MNXR164906
RXN-5647,MNXR96685,0,MNXR96685
RXN-10961,MNXR116609,0,MNXR116609
RXN66-343,MNXR146460,0,MNXR146460
1-PHOSPHATIDYLINOSITOL-3-KINASE-RXN,MNXR114878,0,MNXR114878
THIOL-OXIDASE-RXN,MNXR146835,0,MNXR146835
2.4.1.228-RXN,MNXR192133,0,MNXR192133
3.1.6.14-RXN,MNXR115308,0,MNXR115308
