Original ID,Raw MetaNetX ID,Final ID
10fthf5glu_c,MNXM3428_c,MNXM3428
10fthf5glu_l,MNXM3428_l,MNXM3428
10fthf5glu_m,MNXM3428_m,MNXM3428
10fthf6glu_c,MNXM3429_c,MNXM3429
10fthf6glu_l,MNXM3429_l,MNXM3429
10fthf6glu_m,MNXM3429_m,MNXM3429
10fthf7glu_c,MNXM5422_c,MNXM5422
10fthf7glu_l,MNXM5422_l,MNXM5422
10fthf7glu_m,MNXM5422_m,MNXM5422
10fthf_c,MNXM1102376_c,MNXM1102376
10fthf_l,MNXM1102376_l,MNXM1102376
10fthf_m,MNXM1102376_m,MNXM1102376
11docrtsl_c,MNXM1399_c,MNXM1399
11docrtsl_m,MNXM1399_m,MNXM1399
11docrtsl_r,MNXM1399_r,MNXM1399
11docrtstrn_c,MNXM849_c,MNXM849
11docrtstrn_m,MNXM849_m,MNXM849
11docrtstrn_r,MNXM849_r,MNXM849
13dampp_c,MNXM146468_c,MNXM146468
h2o_c,MNXM03_c,MNXM03
o2_c,MNXM735438_c,MNXM735438
bamppald_c,MNXM736084_c,MNXM736084
h2o2_c,MNXM732621_c,MNXM732621
nh4_c,MNXM729304_c,MNXM729304
2425dhvitd2_m,MNXM6764_m,MNXM6764
h_m,MNXM1_m,MNXM1
nadph_m,MNXM738702_m,MNXM738702
o2_m,MNXM735438_m,MNXM735438
h2o_m,MNXM03_m,MNXM03
nadp_m,MNXM5_m,MNXM5
1a25dhvitd2_m,MNXM9598_m,MNXM9598
1mncam_c,MNXM2172_c,MNXM2172
atp_c,MNXM3_c,MNXM3
adp_c,MNXM40333_c,MNXM40333
h_c,MNXM1_c,MNXM1
pi_c,MNXM9_c,MNXM9
h_x,MNXM1_p/glyoxysome,MNXM1
nadh_x,MNXM10_p/glyoxysome,MNXM10
Lpipecol_x,MNXM684_p/glyoxysome,MNXM684
nad_x,MNXM8_p/glyoxysome,MNXM8
2425dhvitd3_m,MNXM738711_m,MNXM738711
25hvitd2_m,MNXM4976_m,MNXM4976
25hvitd3_m,MNXM730310_m,MNXM730310
24nph_c,MNXM9757_c,MNXM9757
25hvitd3_c,MNXM730310_c,MNXM730310
1a25dhvitd3_m,MNXM726200_m,MNXM726200
2amac_c,MNXM734499_c,MNXM734499
pyr_c,MNXM23_c,MNXM23
nadph_c,MNXM738702_c,MNXM738702
paps_c,MNXM49_c,MNXM49
Lcyst_c,MNXM713_c,MNXM713
nadp_c,MNXM5_c,MNXM5
pap_c,MNXM45_c,MNXM45
L2aadp_c,MNXM268_c,MNXM268
akg_m,MNXM20_m,MNXM20
L2aadp_m,MNXM268_m,MNXM268
akg_c,MNXM20_c,MNXM20
2dr1p_c,MNXM1108138_c,MNXM1108138
drib_c,MNXM90412_c,MNXM90412
2hb_c,MNXM1103784_c,MNXM1103784
nad_c,MNXM8_c,MNXM8
2obut_c,MNXM159_c,MNXM159
nadh_c,MNXM10_c,MNXM10
2hb_e,MNXM1103784_e,MNXM1103784
h_e,MNXM1_e,MNXM1
hco3_e,MNXM60_e,MNXM60
na1_e,MNXM27_e,MNXM27
hco3_c,MNXM60_c,MNXM60
na1_c,MNXM27_c,MNXM27
2oxoadp_m,MNXM263_m,MNXM263
coa_m,MNXM727276_m,MNXM727276
nad_m,MNXM8_m,MNXM8
co2_m,MNXM13_m,MNXM13
glutcoa_m,MNXM382_m,MNXM382
nadh_m,MNXM10_m,MNXM10
2oxoadp_c,MNXM263_c,MNXM263
34dhmald_c,MNXM1633_c,MNXM1633
34dhoxpeg_c,MNXM2931_c,MNXM2931
34dhpha_c,MNXM645_c,MNXM645
amet_c,MNXM16_c,MNXM16
ahcys_c,MNXM19_c,MNXM19
homoval_c,MNXM162963_c,MNXM162963
34dhphe_e,MNXM162631_e,MNXM162631
34dhphe_c,MNXM162631_c,MNXM162631
34dhpac_c,MNXM1401_c,MNXM1401
34dhoxmand_c,MNXM3473_c,MNXM3473
34hpp_m,MNXM153_m,MNXM153
34hpp_c,MNXM153_c,MNXM153
co2_c,MNXM13_c,MNXM13
hgentis_c,MNXM345_c,MNXM345
35cgmp_c,MNXM731192_c,MNXM731192
35cgmp_n,MNXM731192_n,MNXM731192
2mop_m,MNXM305_m,MNXM305
glu__L_m,MNXM89557_m,MNXM89557
3aib_m,MNXM786_m,MNXM786
3aib_c,MNXM786_c,MNXM786
3dphb_m,MNXM733937_m,MNXM733937
3dpdhb_m,MNXM737269_m,MNXM737269
3dsphgn_c,MNXM559_c,MNXM559
sphgn_c,MNXM302_c,MNXM302
3hanthrn_c,MNXM1108155_c,MNXM1108155
cmusa_c,MNXM1105947_c,MNXM1105947
b2coa_m,MNXM214_m,MNXM214
3hbcoa__R_m,MNXM1105913_m,MNXM1105913
3hibutcoa_m,MNXM90341_m,MNXM90341
3hmp_m,MNXM396_m,MNXM396
hLkynr_c,MNXM728564_c,MNXM728564
42A3HP24DB_c,MNXM4997_c,MNXM4997
glu__L_c,MNXM89557_c,MNXM89557
dopa_c,MNXM205_c,MNXM205
3mox4hpac_c,MNXM4183_c,MNXM4183
3mlda_c,MNXM164040_c,MNXM164040
3mob_c,MNXM238_c,MNXM238
3mob_m,MNXM238_m,MNXM238
3mop_c,MNXM1103447_c,MNXM1103447
3mop_m,MNXM1103447_m,MNXM1103447
3m4hpga_c,MNXM1989_c,MNXM1989
3mox4hoxm_c,MNXM730643_c,MNXM730643
3moxtyr_c,MNXM3848_c,MNXM3848
3sala_m,MNXM498_m,MNXM498
asp__L_c,MNXM735837_c,MNXM735837
3sala_c,MNXM498_c,MNXM498
asp__L_m,MNXM735837_m,MNXM735837
hyptaur_c,MNXM726_c,MNXM726
3snpyr_c,MNXM2484_c,MNXM2484
3snpyr_m,MNXM2484_m,MNXM2484
so3_c,MNXM105630_c,MNXM105630
pyr_m,MNXM23_m,MNXM23
so3_m,MNXM105630_m,MNXM105630
adrnl_c,MNXM162647_c,MNXM162647
mma_c,MNXM255_c,MNXM255
nrpphr_c,MNXM31869_c,MNXM31869
4abut_c,MNXM192_c,MNXM192
4abut_m,MNXM192_m,MNXM192
accoa_m,MNXM1104266_m,MNXM1104266
4hbz_m,MNXM164_m,MNXM164
4hdebrisoquine_c,MNXM10135_c,MNXM10135
4hglusa_m,MNXM2687_m,MNXM2687
e4hglu_m,MNXM733012_m,MNXM733012
4hoxpacd_c,MNXM479_c,MNXM479
4hphac_c,MNXM735208_c,MNXM735208
4mop_c,MNXM404_c,MNXM404
4mop_m,MNXM404_m,MNXM404
4mptnl_m,MNXM992_m,MNXM992
4mtolbutamide_c,MNXM10136_c,MNXM10136
4nphsf_c,MNXM10226_c,MNXM10226
4nph_c,MNXM526_c,MNXM526
4nph_e,MNXM526_e,MNXM526
4pyrdx_c,MNXM1530_c,MNXM1530
5adtststeroneglc_c,MNXM8181_c,MNXM8181
5adtststeroneglc_e,MNXM8181_e,MNXM8181
5adtststerones_c,MNXM726151_c,MNXM726151
5adtststerone_c,MNXM730284_c,MNXM730284
5adtststerone_r,MNXM730284_r,MNXM730284
5aop_c,MNXM405_c,MNXM405
5aop_m,MNXM405_m,MNXM405
5dhf_c,MNXM4080_c,MNXM4080
5dhf_l,MNXM4080_l,MNXM4080
5fthf_e,MNXM1392_e,MNXM1392
5fthf_c,MNXM1392_c,MNXM1392
h2o_e,MNXM03_e,MNXM03
5htrp_c,MNXM730546_c,MNXM730546
srtn_c,MNXM357_c,MNXM357
5homeprazole_c,MNXM10267_c,MNXM10267
5hoxindact_c,MNXM1057_c,MNXM1057
5hoxindoa_c,MNXM732179_c,MNXM732179
5htrp_e,MNXM730546_e,MNXM730546
5mthf_e,MNXM318_e,MNXM318
5mthf_c,MNXM318_c,MNXM318
5thf_c,MNXM3687_c,MNXM3687
5thf_l,MNXM3687_l,MNXM3687
5thf_m,MNXM3687_m,MNXM3687
6dhf_c,MNXM3615_c,MNXM3615
6dhf_l,MNXM3615_l,MNXM3615
6dhf_m,MNXM3615_m,MNXM3615
6htststerone_r,MNXM163219_r,MNXM163219
6thf_c,MNXM3616_c,MNXM3616
6thf_l,MNXM3616_l,MNXM3616
6thf_m,MNXM3616_m,MNXM3616
7dhchsterol_r,MNXM730454_r,MNXM730454
7dhchsterol_c,MNXM730454_c,MNXM730454
